Date,Time,Weather,Parking
Monday,0700 - 0715,sunny,Spot A
Monday,0715 - 0730,sunny,Spot A
Monday,0730 - 0745,sunny,Spot A
Monday,0745 - 0800,sunny,Spot A
Monday,0800 - 0815,sunny,Spot A
Monday,0815 - 0830,sunny,Spot A
Monday,0830 - 0845,sunny,Spot A
Monday,0845 - 0900,sunny,Spot A
Tuesday,0700 - 0715,sunny,Spot A
Tuesday,0715 - 0730,sunny,Spot A
Tuesday,0730 - 0745,sunny,Spot A
Tuesday,0745 - 0800,sunny,Spot A
Tuesday,0800 - 0815,sunny,Spot A
Tuesday,0815 - 0830,sunny,Spot A
Tuesday,0830 - 0845,sunny,Spot A
Tuesday,0845 - 0900,sunny,Spot A
Wednesday,0700 - 0715,cloudy,Spot A
Wednesday,0715 - 0730,cloudy,Spot A
Wednesday,0730 - 0745,cloudy,Spot A
Wednesday,0745 - 0800,cloudy,Spot A
Wednesday,0800 - 0815,cloudy,Spot A
Wednesday,0815 - 0830,cloudy,Spot A
Wednesday,0830 - 0845,cloudy,Spot A
Wednesday,0845 - 0900,cloudy,Spot A
Thursday,0700 - 0715,cloudy,Spot A
Thursday,0715 - 0730,cloudy,Spot A
Thursday,0730 - 0745,cloudy,Spot A
Thursday,0745 - 0800,cloudy,Spot A
Thursday,0800 - 0815,cloudy,Spot A
Thursday,0815 - 0830,cloudy,Spot A
Thursday,0830 - 0845,cloudy,Spot A
Thursday,0845 - 0900,cloudy,Spot A
Friday,0700 - 0715,sunny,Spot A
Friday,0715 - 0730,sunny,Spot A
Friday,0730 - 0745,sunny,Spot A
Friday,0745 - 0800,sunny,Spot A
Friday,0800 - 0815,sunny,Spot A
Friday,0815 - 0830,sunny,Spot A
Friday,0830 - 0845,sunny,Spot A
Friday,0845 - 0900,sunny,Spot A
Saturday,0700 - 0715,cloudy,Spot A
Saturday,0715 - 0730,cloudy,Spot A
Saturday,0730 - 0745,cloudy,Spot A
Saturday,0745 - 0800,cloudy,Spot A
Saturday,0800 - 0815,cloudy,Spot A
Saturday,0815 - 0830,cloudy,Spot A
Saturday,0830 - 0845,cloudy,Spot A
Saturday,0845 - 0900,cloudy,Spot A
Sunday,0700 - 0715,sunny,Spot A
Sunday,0715 - 0730,sunny,Spot A
Sunday,0730 - 0745,sunny,Spot A
Sunday,0745 - 0800,sunny,Spot A
Sunday,0800 - 0815,sunny,Spot A
Sunday,0815 - 0830,sunny,Spot A
Sunday,0830 - 0845,sunny,Spot A
Sunday,0845 - 0900,sunny,Spot A
Monday,0700 - 0715,sunny,Spot A
Monday,0715 - 0730,sunny,Spot A
Monday,0730 - 0745,sunny,Spot A
Monday,0745 - 0800,sunny,Spot A
Monday,0800 - 0815,sunny,Spot A
Monday,0815 - 0830,sunny,Spot A
Monday,0830 - 0845,sunny,Spot A
Monday,0845 - 0900,sunny,Spot A
Tuesday,0700 - 0715,sunny,Spot A
Tuesday,0715 - 0730,sunny,Spot A
Tuesday,0730 - 0745,sunny,Spot A
Tuesday,0745 - 0800,sunny,Spot A
Tuesday,0800 - 0815,sunny,Spot A
Tuesday,0815 - 0830,sunny,Spot A
Tuesday,0830 - 0845,sunny,Spot A
Tuesday,0845 - 0900,sunny,Spot A
Wednesday,0700 - 0715,rainy,Spot A
Wednesday,0715 - 0730,rainy,Spot A
Wednesday,0730 - 0745,rainy,Spot A
Wednesday,0745 - 0800,rainy,Spot A
Wednesday,0800 - 0815,rainy,Spot A
Wednesday,0815 - 0830,rainy,Spot A
Wednesday,0830 - 0845,rainy,Spot A
Wednesday,0845 - 0900,rainy,Spot A
Thursday,0700 - 0715,sunny,Spot A
